value_loss,total_timesteps,policy_entropy,fps,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
8.204101504816208e-06,809183,-5.705052375793457,194,0.3471187949180603,47600,0.1400521993637085,427.22781597,1000.0
0.00016378337750211358,810883,-5.733956813812256,194,0.10422617197036743,47700,-10.395454406738281,396.99248709,1000.0
4.530206206254661e-05,812583,-5.718594551086426,194,-0.09612727165222168,47800,0.011932969093322754,388.13966087,1000.0
2.6469779186300002e-05,814283,-5.706642150878906,194,0.26808416843414307,47900,-0.00270998477935791,359.6168429,1000.0
0.0080986013635993,815983,-5.733029842376709,194,-0.42993664741516113,48000,-0.769068717956543,341.9350472,1000.0
0.0004175007634330541,817683,-5.7421417236328125,194,-0.23981833457946777,48100,-0.12427771091461182,328.50077941,1000.0
0.00019959494238719344,819383,-5.722805500030518,194,0.9944064617156982,48200,-0.595618486404419,320.34960437999996,1000.0
3.508761074044742e-05,821083,-5.700817108154297,194,0.0030242179054766893,48300,0.23013287782669067,306.68643507999997,1000.0
0.0015432476066052914,822783,-5.712143421173096,194,0.20065048336982727,48400,-18.333818435668945,292.00032833999995,1000.0
0.0051139043644070625,824483,-5.697678089141846,194,-1.0215448141098022,48500,0.06472325325012207,275.71642402000003,1000.0
1.8445877003614441e-06,826183,-5.729185581207275,194,-0.2453249990940094,48600,0.40792179107666016,257.43772643,1000.0
3.946753167838324e-06,827883,-5.707935333251953,194,0.43340981006622314,48700,-7.96795654296875,230.18637891999998,1000.0
0.00016567084821872413,829583,-5.7177557945251465,194,-0.6937615871429443,48800,-3111.685302734375,230.87703756,1000.0
0.0010971217416226864,831283,-5.728978633880615,194,0.424113392829895,48900,-0.2497413158416748,207.18192808000003,1000.0
9.341254190076143e-05,832983,-5.752302169799805,194,-0.4689493179321289,49000,nan,180.36182878000002,1000.0
1.3898647921450902e-06,834683,-5.830203533172607,194,-0.3649381399154663,49100,-0.6119577884674072,173.44212344,1000.0
0.00033711400465108454,836383,-5.847873210906982,194,-0.2379390001296997,49200,-0.8328077793121338,146.09573512,1000.0
8.837097266223282e-05,838083,-5.846632480621338,194,-0.05979757755994797,49300,-0.0054361820220947266,146.09573512,1000.0
2.654759373399429e-05,839783,-5.878573894500732,194,0.10381150990724564,49400,-0.12605178356170654,132.92790624,1000.0
0.029820898547768593,841483,-5.877532005310059,194,0.16501347720623016,49500,nan,121.42444919999998,1000.0
1.785789936548099e-05,843183,-5.872193813323975,194,-0.24219094216823578,49600,-0.1864389181137085,121.42444919999998,1000.0
1.05980170701514e-05,844883,-5.885015964508057,193,0.6203001737594604,49700,-0.14548158645629883,121.42444919999998,1000.0
0.006461400538682938,846583,-5.867966175079346,193,0.11672688275575638,49800,0.1702343225479126,107.48443631999999,1000.0
3.2262778404401615e-05,848283,-5.8034162521362305,193,-0.3847297728061676,49900,-0.08129572868347168,108.21521754999999,1000.0
1.7926231521414593e-06,849983,-5.770381450653076,193,0.08417871594429016,50000,nan,100.44662787000001,1000.0
3.883840690832585e-05,851683,-5.790070056915283,193,0.059240344911813736,50100,-0.09778809547424316,100.44662786999999,1000.0
1.8188065951108e-05,853383,-5.790204048156738,193,0.6179904937744141,50200,-0.013607621192932129,100.44662787000001,1000.0
1.2509224688983522e-05,855083,-5.777621269226074,193,-0.039648499339818954,50300,0.0653611421585083,98.31916343,1000.0
0.00039710415876470506,856783,-5.690094470977783,193,0.3781028985977173,50400,-66.8158187866211,95.03593181000001,1000.0
5.090728336654138e-06,858483,-5.790389060974121,193,-0.13314726948738098,50500,nan,90.99747079000001,1000.0
1.2795811926480383e-05,860183,-5.827239990234375,193,-0.47168242931365967,50600,-2.8642349243164062,87.93300083,1000.0
0.0002363882085774094,861883,-5.831527233123779,192,0.2320157289505005,50700,0.002178370952606201,80.45563399000001,1000.0
2.0477826183196157e-05,863583,-5.845610618591309,192,0.4780842661857605,50800,-0.1756225824356079,80.45563399000001,1000.0
0.0099888164550066,865283,-5.857272624969482,192,-0.40997886657714844,50900,-29.528854370117188,80.45563399000001,1000.0
0.009957367554306984,866983,-5.923748970031738,192,0.15700654685497284,51000,nan,80.45563399000001,1000.0
0.00016984771355055273,868683,-5.9537882804870605,192,0.29140931367874146,51100,0.3843801021575928,80.47328828,1000.0
6.13550073467195e-05,870383,-5.97332239151001,192,-0.04863487184047699,51200,-0.9217047691345215,80.60252447,1000.0
3.819551784545183e-05,872083,-5.967263221740723,192,0.04445852339267731,51300,-10.495616912841797,80.60252447,1000.0
2.58927666436648e-05,873783,-5.948289394378662,192,0.10545124113559723,51400,-4.94784688949585,80.63560367000001,1000.0
0.0004886460956186056,875483,-5.971571922302246,192,0.5674725770950317,51500,nan,74.54741933999999,1000.0
0.00030766267445869744,877183,-5.957847595214844,192,-0.11663214862346649,51600,-4.3524088859558105,74.54758616000001,1000.0
0.00013909535482525826,878883,-5.978188991546631,192,-0.023395046591758728,51700,-45.92520523071289,71.47854993,1000.0
0.00010155412019230425,880583,-5.994899272918701,192,-0.24324952065944672,51800,-2.14931583404541,71.48164096,1000.0
0.001250866218470037,882283,-6.020666122436523,192,-0.2586264908313751,51900,-26.193626403808594,71.48164096,1000.0
0.0003650219878181815,883983,-6.042492866516113,191,-0.4199061691761017,52000,nan,70.53779505,1000.0
0.008019864559173584,885683,-6.05083703994751,191,-0.3539377748966217,52100,0.6581926047801971,70.53311656999999,1000.0
0.00025702331913635135,887383,-6.082635879516602,191,0.1893302947282791,52200,-12.136198997497559,70.53374142,1000.0
0.00021000468404963613,889083,-6.074942588806152,191,-0.5406148433685303,52300,-21.67247200012207,70.53553482000001,1000.0
0.0007512721931561828,890783,-6.0691237449646,191,0.09726973623037338,52400,-4.363444805145264,74.61796935000001,1000.0
0.002609030809253454,892483,-6.069486618041992,191,-0.6664119958877563,52500,nan,72.33141106000002,1000.0
0.010147014632821083,894183,-6.089444637298584,191,0.3609229624271393,52600,-298.89569091796875,72.33323717000002,1000.0
0.00014968737377785146,895883,-6.093374252319336,191,0.7123204469680786,52700,-36.07667541503906,72.32040167000001,1000.0
0.0018944692565128207,897583,-6.0953688621521,191,0.7078526020050049,52800,0.08947879076004028,72.3228136,1000.0
0.0004210637416690588,899283,-6.1207966804504395,191,-0.24848350882530212,52900,-23776.396484375,79.41121098,1000.0
0.0003119400062132627,900983,-6.119214057922363,191,-0.5166608095169067,53000,nan,79.29944540000001,1000.0
0.00022999526117928326,902683,-6.134211540222168,191,0.48248663544654846,53100,-27.35831642150879,80.47725736000001,1000.0
0.0010013259015977383,904383,-6.168768882751465,191,0.5297291278839111,53200,0.008112609386444092,77.72598228000001,1000.0
8.773165609454736e-05,906083,-6.19282341003418,191,-0.04339727759361267,53300,-11.064409255981445,77.72606995000001,1000.0
0.00013960337673779577,907783,-6.207074165344238,190,-0.3566717207431793,53400,-6.122982978820801,76.08120296,1000.0
0.00013687292812392116,909483,-6.215509414672852,190,0.41653957962989807,53500,nan,75.23832114000001,1000.0
0.0003135786682832986,911183,-6.204310417175293,190,0.4592069983482361,53600,-58.048152923583984,75.23999695,1000.0
0.00016133923782035708,912883,-6.191558361053467,190,0.03801313042640686,53700,-2.7368390560150146,76.88465136000002,1000.0
0.00038688385393470526,914583,-6.190974712371826,190,0.3003922998905182,53800,-4.887078762054443,76.88650341000002,1000.0
