,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
167,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,58308.14,3115.42,53175.62,4872.87
168,0.1,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,58388.56,3504.28,54440.18,3507.09
169,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,58409.92,2870.54,54365.31,5027.77
170,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,58477.71,2736.63,55195.0,4421.66
171,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,58600.81,3164.25,53555.93,4198.55
172,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,58661.63,2866.98,55450.88,2843.78
173,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,58697.62,2840.67,54955.19,2107.78
174,0.1,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,58705.17,3167.19,55401.48,3213.21
175,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,58766.51,3079.06,54982.5,3387.99
176,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,58828.85,3446.08,51664.63,6961.65
177,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,58830.51,2502.94,56314.06,2596.45
178,0.1,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,59083.61,3299.88,56981.62,1841.55
179,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,59127.49,2458.28,55680.5,2969.7
180,0.1,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,59302.5,3051.78,55709.44,3753.65
181,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,59353.42,2728.33,55393.53,2553.68
182,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,59623.93,2247.16,57300.12,1748.13
183,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,59761.76,2308.37,56420.46,3693.92
184,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,59826.24,2062.71,57841.78,3422.25
185,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,59828.54,2779.76,56891.95,4242.25
186,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,59862.11,2261.66,56919.28,4729.21
187,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,59913.27,2152.46,57321.98,1964.96
188,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,60322.75,1754.81,58619.61,3040.35
189,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,60450.38,1883.8,58268.43,1983.48
190,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,60765.77,1878.36,57723.44,3170.14
191,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,60860.5,1722.54,59250.21,1720.18
192,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,61181.03,1499.24,59345.88,2858.87
