fps,approxkl,serial_timesteps,total_timesteps,policy_entropy,explained_variance,value_loss,time_elapsed,policy_loss,n_updates,clipfrac,ep_reward_mean,ep_len_mean
260,0.04114013,44032,176128,7.4490643,-0.12978243827819824,0.0067831995,986.5558094978333,-0.015925864,1376,0.2890625,58612.126449840005,500.0
261,0.028144088,44064,176256,7.4554625,-0.005513787269592285,0.0018733,987.0483763217926,-0.004582662,1377,0.36914062,58612.126449840005,500.0
258,0.023571491,44096,176384,7.4560294,0.05913984775543213,0.0013846238,987.5391206741333,-0.017456532,1378,0.31835938,58612.126449840005,500.0
276,0.04928663,44128,176512,7.4545054,-0.0026513338088989258,0.0012795029,988.0359444618225,0.009040422,1379,0.453125,58612.126449840005,500.0
261,0.02051583,44160,176640,7.4552402,-0.001379847526550293,0.0007258555,988.5003697872162,-0.0064180405,1380,0.27539062,58612.126449840005,500.0
270,0.051586177,44192,176768,7.4507933,-0.012618660926818848,0.00066732225,988.9908723831177,0.01712872,1381,0.37304688,58612.126449840005,500.0
270,0.034509826,44224,176896,7.4500704,-0.015491127967834473,0.0004705217,989.4652616977692,-0.03508134,1382,0.3671875,58612.126449840005,500.0
278,0.020964295,44256,177024,7.4480605,-0.010994434356689453,0.00062091765,989.9385211467743,0.008984917,1383,0.2421875,58612.126449840005,500.0
283,0.022187512,44288,177152,7.4418883,-0.015359640121459961,0.00040374952,990.3983409404755,-0.0029998976,1384,0.28515625,58612.126449840005,500.0
266,0.028948657,44320,177280,7.4412794,0.020182907581329346,0.0003723996,990.8498213291168,-0.024718009,1385,0.33398438,58612.126449840005,500.0
269,0.013707176,44352,177408,7.442106,-0.033826231956481934,0.00026082262,991.3316538333893,0.010458734,1386,0.18164062,58612.126449840005,500.0
262,0.036486782,44384,177536,7.4452987,0.0025638341903686523,0.00033044547,991.8072283267975,0.011560466,1387,0.34765625,58612.126449840005,500.0
260,0.0131798275,44416,177664,7.447166,0.014724135398864746,0.00034934204,992.2959837913513,-0.00027889665,1388,0.171875,58612.126449840005,500.0
235,0.028654685,44448,177792,7.440192,-0.06140899658203125,0.00038491923,992.7888290882111,-0.0046445723,1389,0.3359375,58612.126449840005,500.0
262,0.08015009,44480,177920,7.434293,0.0007685422897338867,0.00028793333,993.3340268135071,0.048297666,1390,0.5292969,58612.126449840005,500.0
31,0.027372101,44512,178048,7.43303,-0.05303502082824707,0.71294147,993.8228640556335,-0.026316803,1391,0.32421875,58623.63228571999,500.0
276,0.025982633,44544,178176,7.4292088,-0.07240140438079834,0.0015398167,997.8621664047241,-0.01851099,1392,0.24609375,58623.63228571999,500.0
275,0.034728497,44576,178304,7.4258375,-0.011672377586364746,0.0015593782,998.3260321617126,0.021326356,1393,0.34375,58623.63228571999,500.0
269,0.048534453,44608,178432,7.422742,0.0017260909080505371,0.0014755087,998.7918126583099,0.039363347,1394,0.34570312,58623.63228571999,500.0
259,0.033876047,44640,178560,7.425575,0.05130600929260254,0.0013884555,999.2672975063324,-0.02745166,1395,0.33398438,58623.63228571999,500.0
280,0.017960524,44672,178688,7.4291887,-0.0038815736770629883,0.0011215167,999.7604403495789,-0.0044254446,1396,0.21484375,58623.63228571999,500.0
252,0.024914755,44704,178816,7.439599,0.002762734889984131,0.00079504563,1000.2178647518158,-0.0035910024,1397,0.29492188,58623.63228571999,500.0
257,0.024204614,44736,178944,7.44191,0.03976815938949585,0.00068738195,1000.7262916564941,-0.013333264,1398,0.23242188,58623.63228571999,500.0
252,0.023229519,44768,179072,7.426217,0.016301274299621582,0.0006060827,1001.2252416610718,0.009444116,1399,0.24804688,58623.63228571999,500.0
270,0.038385212,44800,179200,7.423305,8.600950241088867e-05,0.00051757274,1001.7324645519257,0.017239943,1400,0.38085938,58623.63228571999,500.0
