EpisodesSoFar,TimeElapsed,TimestepsSoFar,entropy,entloss,surrgain,EpThisIter,meankl,EpLenMean,optimgain,explained_variance_tdlam_before,EpRewMean
449,3777.0220308303833,449536,-0.029493395,0.0,0.026189102,1,0.009611566,1001.0,0.026189102,-0.0033131837844848633,58548.81172495
450,3785.1918206214905,450560,-0.026491404,0.0,0.024468012,1,0.010665231,1001.0,0.024468012,-0.0020421743392944336,57836.206318724995
451,3793.3831532001495,451584,-0.037339635,0.0,0.025955735,1,0.012024003,1001.0,0.025955735,-0.20982575416564941,57140.861914425
452,3801.878373861313,452608,-0.06889817,0.0,0.026790656,1,0.010027583,1001.0,0.026790656,0.02289491891860962,57354.714725699996
453,3810.314408302307,453632,-0.067064255,0.0,0.028379036,1,0.010580612,1001.0,0.028379036,0.05129432678222656,57546.61443527499
454,3818.5484008789062,454656,-0.07760331,0.0,0.023895092,1,0.01036538,1001.0,0.023895092,-0.025097370147705078,57042.552814049996
455,3827.38311624527,455680,-0.07584612,0.0,0.024242003,1,0.010619574,1001.0,0.024242003,-0.011164546012878418,56709.934643299996
456,3836.1696577072144,456704,-0.07359846,0.0,0.020300467,1,0.011006953,1001.0,0.020300467,0.11360877752304077,56589.25139137499
457,3844.6724996566772,457728,-0.061838627,0.0,0.023993395,1,0.01148073,1001.0,0.023993395,0.14685332775115967,56842.90251235
458,3852.975660800934,458752,-0.07045743,0.0,0.024343535,1,0.010654205,1001.0,0.024343535,0.2089405655860901,56431.397218575
459,3861.424774646759,459776,-0.081126116,0.0,0.023495354,1,0.010119675,1001.0,0.023495354,0.022890448570251465,56527.39777785
460,3869.9910759925842,460800,-0.08117006,0.0,0.02577844,1,0.0110317,1001.0,0.02577844,0.1763492226600647,56701.071227374996
461,3878.4217002391815,461824,-0.08086242,0.0,0.024023477,1,0.011233246,1001.0,0.024023477,0.35343998670578003,56430.2499449
462,3886.876405239105,462848,-0.08803715,0.0,0.026381668,1,0.011296746,1001.0,0.026381668,0.3506593704223633,56464.39643445001
463,3895.2767679691315,463872,-0.087880135,0.0,0.02409179,1,0.009652934,1001.0,0.02409179,0.45837581157684326,56210.73558885
464,3903.80052113533,464896,-0.10550497,0.0,0.022522578,1,0.010790536,1001.0,0.022522578,0.004603326320648193,56354.726573324995
465,3912.2120270729065,465920,-0.106364325,0.0,0.022878746,1,0.011724591,1001.0,0.022878746,0.25862711668014526,56723.651724974996
466,3920.3505046367645,466944,-0.12947462,0.0,0.026107432,1,0.010378187,1001.0,0.026107432,-0.008580446243286133,56609.13320287501
467,3928.634497642517,467968,-0.14921682,0.0,0.027924784,1,0.012095909,1001.0,0.027924784,-0.011158585548400879,56611.23164435
468,3937.2330782413483,468992,-0.15970045,0.0,0.021621719,1,0.009595782,1001.0,0.021621719,0.453771710395813,56403.680948249996
469,3945.9038009643555,470016,-0.15326954,0.0,0.018112283,1,0.011233371,1001.0,0.018112283,0.01673579216003418,56497.934239775
470,3954.934693336487,471040,-0.14344293,0.0,0.01939645,1,0.010760341,1001.0,0.01939645,0.002925693988800049,56721.51706955
471,3964.2653772830963,472064,-0.15078928,0.0,0.02094667,1,0.009870644,1001.0,0.02094667,0.03596782684326172,56891.281818275005
