total_timesteps,policy_entropy,value_loss,explained_variance,fps,nupdates,ep_len_mean,ep_reward_mean
693000,7.415168762207031,490142.15625,-1.9073486328125e-06,293,19800,1000.0,25530.094436519998
696500,7.364764213562012,40823.671875,1.1324882507324219e-06,293,19900,1000.0,25530.094436519998
700000,7.340884685516357,583969.5625,-5.602836608886719e-06,293,20000,1000.0,26042.41462738
703500,7.331341743469238,14129.6357421875,3.5762786865234375e-07,293,20100,1000.0,26042.41462738
707000,7.323244571685791,498544.84375,7.748603820800781e-07,293,20200,1000.0,27078.845137
710500,7.311060905456543,37857.7578125,0.0,293,20300,1000.0,27078.845137
714000,7.260958194732666,600082.9375,-1.1920928955078125e-07,293,20400,1000.0,27433.234956740005
717500,7.220868110656738,29653.4140625,1.1324882507324219e-06,293,20500,1000.0,27433.234956740005
721000,7.1957106590271,589352.0,1.430511474609375e-06,293,20600,1000.0,28098.09340624
724500,7.139358997344971,53516.546875,2.86102294921875e-06,294,20700,1000.0,28098.09340624
728000,7.118244171142578,568141.375,-9.5367431640625e-07,293,20800,1000.0,28164.094075210007
731500,7.0862345695495605,906.2697143554688,6.139278411865234e-06,294,20900,1000.0,28164.094075210007
735000,7.05778169631958,422494.625,1.9073486328125e-06,293,21000,1000.0,27041.916454420007
738500,7.016857147216797,44974.6875,5.960464477539063e-08,294,21100,1000.0,27041.916454420007
742000,6.969442367553711,541789.875,8.940696716308594e-07,293,21200,1000.0,28097.136831800006
745500,6.945858001708984,35420.98046875,2.682209014892578e-06,294,21300,1000.0,28097.136831800006
749000,6.924256324768066,360627.375,1.3709068298339844e-06,293,21400,1000.0,29963.178328069996
752500,6.89703893661499,415.9945373535156,6.139278411865234e-06,294,21500,1000.0,29963.178328069996
756000,6.9184794425964355,432237.5,2.205371856689453e-06,293,21600,1000.0,32081.585523620004
759500,6.8824334144592285,28023.83984375,-1.9073486328125e-06,294,21700,1000.0,32081.585523620004
763000,6.836730480194092,400899.875,1.0132789611816406e-06,293,21800,1000.0,35571.424385809994
766500,6.752941131591797,97580.125,-4.76837158203125e-07,294,21900,1000.0,35571.424385809994
