nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
21300,0.099265918135643,-0.0021839141845703125,-0.1691213995218277,702867,201,3.291566848754883,20813.36435878,1000.0
21400,0.0823800265789032,0.0007480382919311523,-0.6576368808746338,706167,201,3.2777633666992188,20936.86884788,1000.0
21500,234.99473571777344,0.0010772943496704102,0.2597678005695343,709467,201,3.260286331176758,21199.984288160005,1000.0
21600,0.043246760964393616,0.007293224334716797,0.17918400466442108,712767,201,3.243942975997925,21350.969450769997,1000.0
21700,0.1607101559638977,0.0022675395011901855,-0.07478594034910202,716067,202,3.2290098667144775,21512.785758149996,1000.0
21800,0.09152427315711975,-0.0014857053756713867,-0.14279179275035858,719367,202,3.220635175704956,21725.89649987,1000.0
21900,0.20697593688964844,0.0001322031021118164,0.14371022582054138,722667,202,3.2049622535705566,21925.628864409995,1000.0
22000,239.76644897460938,-0.0032275915145874023,-0.4238392114639282,725967,202,3.1899523735046387,22190.466001399996,1000.0
22100,0.010972071439027786,0.01077425479888916,-0.27726173400878906,729267,202,3.177337884902954,22339.61339713,1000.0
22200,0.035387489944696426,-0.002522587776184082,-0.3728042542934418,732567,202,3.1599268913269043,22502.57989989,1000.0
22300,0.23788775503635406,0.0032685399055480957,-0.13110843300819397,735867,202,3.1399292945861816,22607.664362180003,1000.0
22400,0.025703344494104385,0.006261169910430908,-0.3342067003250122,739167,202,3.129232406616211,22697.56109216,1000.0
22500,224.64877319335938,-0.0012012720108032227,-0.33184149861335754,742467,202,3.11277437210083,22954.139325739998,1000.0
22600,0.12587377429008484,0.000738680362701416,-0.23942269384860992,745767,202,3.0986838340759277,23044.517549769997,1000.0
22700,0.04303422570228577,-0.01341104507446289,-0.29669129848480225,749067,202,3.0883264541625977,23236.403703009997,1000.0
22800,0.31234198808670044,0.0002486109733581543,-0.5233079195022583,752367,202,3.072152853012085,23366.890614279997,1000.0
22900,0.0429813489317894,-0.008851408958435059,0.15889538824558258,755667,202,3.0535683631896973,23538.82798421,1000.0
23000,234.50559997558594,-0.005180239677429199,0.3305447995662689,758967,202,3.0435190200805664,23726.742131540002,1000.0
23100,0.27395617961883545,-0.0012481212615966797,-0.08713513612747192,762267,202,3.0285816192626953,23873.018064139997,1000.0
23200,0.03767599165439606,0.005117654800415039,-0.5326776504516602,765567,202,3.0165069103240967,24078.34708157,1000.0
23300,0.06391190737485886,-0.0026987791061401367,-0.3012305796146393,768867,202,3.0082223415374756,24157.242050079996,1000.0
23400,0.036508746445178986,-0.007986903190612793,-0.3755299150943756,772167,202,2.9929168224334717,24302.985997629996,1000.0
23500,238.38787841796875,-0.005245685577392578,0.08659832924604416,775467,202,2.974487543106079,24442.17216914,1000.0
23600,0.1682974398136139,0.0012788772583007812,-0.0003941144095733762,778767,202,2.9683890342712402,24583.0176561,1000.0
23700,0.03597591817378998,-0.0006582736968994141,-0.25293850898742676,782067,202,2.9588606357574463,24718.52167995,1000.0
23800,0.27923765778541565,-0.00013339519500732422,0.09401297569274902,785367,202,2.948873996734619,24850.759623539998,1000.0
23900,0.04465658962726593,-0.003815293312072754,-0.04022211208939552,788667,202,2.943108081817627,24973.231613999997,1000.0
24000,227.52423095703125,-0.0006763935089111328,-0.469820499420166,791967,202,2.9379940032958984,25199.458201530004,1000.0
24100,0.020433388650417328,0.0008211135864257812,0.23761510848999023,795267,202,2.927671432495117,25349.506252620005,1000.0
24200,0.0620688870549202,-0.004016518592834473,-0.6006521582603455,798567,202,2.917804718017578,25423.75615097,1000.0
24300,0.14259827136993408,0.0016708970069885254,-0.41000112891197205,801867,202,2.9032833576202393,25528.935331489993,1000.0
24400,0.13430935144424438,-4.553794860839844e-05,0.1993609070777893,805167,202,2.889256000518799,25610.919411929994,1000.0
24500,237.233642578125,0.010912954807281494,-0.7587671279907227,808467,202,2.881675958633423,25803.16114129,1000.0
24600,0.19820058345794678,0.007119417190551758,-0.15680545568466187,811767,202,2.8705573081970215,25910.373660010002,1000.0
24700,0.11014415323734283,-0.003204941749572754,-0.4206453263759613,815067,202,2.8636560440063477,26055.916336590002,1000.0
24800,0.3905458450317383,0.009809374809265137,-0.7904559373855591,818367,202,2.8548130989074707,26185.482512640003,1000.0
24900,0.14128366112709045,0.002244412899017334,-0.07051385939121246,821667,202,2.8472676277160645,26321.219780410003,1000.0
25000,228.0325164794922,-0.0047501325607299805,-0.5587466955184937,824967,202,2.8377766609191895,26485.358407929994,1000.0
25100,0.19344089925289154,-0.0038955211639404297,0.0471196174621582,828267,202,2.831608772277832,26579.173548089995,1000.0
25200,0.17106162011623383,-0.0129624605178833,-0.1670544147491455,831567,202,2.8195371627807617,26657.66646993,1000.0
25300,0.042496975511312485,-0.0034111738204956055,-0.04098759964108467,834867,202,2.810772180557251,26761.3254807,1000.0
