fps,nupdates,policy_entropy,explained_variance,total_timesteps,value_loss,ep_reward_mean,ep_len_mean
284,63100,22.488157272338867,0.8705633580684662,1262000,91.62577819824219,856.3471285399999,1000.0
283,63200,22.4589900970459,-42.70533752441406,1264000,25599.666015625,912.3565093799999,1000.0
284,63300,22.441692352294922,0.8404328227043152,1266000,118.9608383178711,912.3565093799999,1000.0
283,63400,22.449447631835938,-32.2219123840332,1268000,17854.62890625,971.17007977,1000.0
284,63500,22.459524154663086,0.7796613126993179,1270000,68.2857437133789,971.17007977,1000.0
283,63600,22.46621322631836,-49.230186462402344,1272000,22329.919921875,1033.27527282,1000.0
284,63700,22.440765380859375,0.8712579309940338,1274000,31.4487361907959,1033.27527282,1000.0
283,63800,22.430192947387695,-7.209932327270508,1276000,17555.412109375,1088.42988944,1000.0
284,63900,22.430862426757812,0.908064678311348,1278000,56.27396774291992,1088.42988944,1000.0
283,64000,22.40396499633789,-271.8128356933594,1280000,17896.619140625,1159.7711980099998,1000.0
283,64100,22.43140983581543,0.6848078668117523,1282000,178.1826629638672,1159.7711980099998,1000.0
283,64200,22.391868591308594,0.1906987428665161,1284000,157176.1875,1272.64377193,1000.0
283,64300,22.383102416992188,0.5613528192043304,1286000,256.0520324707031,1272.64377193,1000.0
283,64400,22.412858963012695,-854.916748046875,1288000,123492.828125,1386.88135246,1000.0
283,64500,22.40410804748535,0.8286824971437454,1290000,2216.82958984375,1386.88135246,1000.0
283,64600,22.38943099975586,-1104.845947265625,1292000,64229.75,1486.3612399999997,1000.0
283,64700,22.385099411010742,0.9898927314206958,1294000,225.4310760498047,1486.3612399999997,1000.0
283,64800,22.388389587402344,-22801.34765625,1296000,87932.2890625,1590.3656594899999,1000.0
283,64900,22.38170623779297,0.986568994820118,1298000,150.3128662109375,1590.3656594899999,1000.0
283,65000,22.38381576538086,-79.99503326416016,1300000,100691.859375,1671.38648017,1000.0
283,65100,22.365886688232422,0.9919218188151717,1302000,118.4823989868164,1671.38648017,1000.0
283,65200,22.356277465820312,-41.41872024536133,1304000,172357.109375,1787.66556381,1000.0
283,65300,22.347755432128906,0.9469898268580437,1306000,425.2088317871094,1787.66556381,1000.0
283,65400,22.341461181640625,-19.196121215820312,1308000,142292.375,1898.1023657000003,1000.0
283,65500,22.324256896972656,0.9370837658643723,1310000,563.1527099609375,1898.1023657000003,1000.0
283,65600,22.324359893798828,-10.071322441101074,1312000,102043.0390625,1969.7587873400003,1000.0
283,65700,22.32311248779297,0.9463816918432713,1314000,300.654052734375,1969.7587873400003,1000.0
283,65800,22.320762634277344,-5.738948822021484,1316000,319587.53125,2125.78071111,1000.0
283,65900,22.323556900024414,0.9624272175133228,1318000,309.95294189453125,2125.78071111,1000.0
283,66000,22.295101165771484,-119.1126480102539,1320000,152505.46875,2238.3511278200003,1000.0
283,66100,22.311800003051758,0.9884264580905437,1322000,201.11122131347656,2238.3511278200003,1000.0
283,66200,22.311368942260742,-32.463321685791016,1324000,132409.953125,2336.3232675900003,1000.0
283,66300,22.309755325317383,0.9505102820694447,1326000,298.6782531738281,2336.3232675900003,1000.0
283,66400,22.283781051635742,-12.445942878723145,1328000,356547.34375,2500.7194017300003,1000.0
283,66500,22.274892807006836,0.9817511774599552,1330000,543.4913330078125,2500.7194017300003,1000.0
283,66600,22.26504898071289,-6.270178318023682,1332000,390748.09375,2665.2872807699996,1000.0
283,66700,22.243549346923828,0.9727778136730194,1334000,453.477783203125,2665.2872807699996,1000.0
283,66800,22.247539520263672,-480.605224609375,1336000,326377.5,2824.8499223100002,1000.0
283,66900,22.245229721069336,0.9565267153084278,1338000,162.63787841796875,2824.8499223100002,1000.0
283,67000,22.222883224487305,-304.460693359375,1340000,426984.4375,3032.1876477399996,1000.0
283,67100,22.217599868774414,0.9486366845667362,1342000,197.6364288330078,3032.1876477399996,1000.0
283,67200,22.21411895751953,-1.3228330612182617,1344000,468946.3125,3186.2455165299993,1000.0
283,67300,22.198945999145508,0.8168948292732239,1346000,691.5344848632812,3186.2455165299993,1000.0
283,67400,22.203317642211914,-1.553450107574463,1348000,483642.15625,3397.095122240001,1000.0
283,67500,22.206871032714844,0.5310530364513397,1350000,1523.126220703125,3397.095122240001,1000.0
283,67600,22.190269470214844,-132.0395050048828,1352000,308222.0625,3570.34518316,1000.0
283,67700,22.186140060424805,0.6372354626655579,1354000,1220.3905029296875,3570.34518316,1000.0
283,67800,22.181087493896484,-45.47327423095703,1356000,254609.46875,3695.514660280001,1000.0
283,67900,22.17902374267578,0.9826698880642653,1358000,333.1819152832031,3695.514660280001,1000.0
283,68000,22.177703857421875,-530.3154907226562,1360000,233246.40625,3851.0188345700003,1000.0
283,68100,22.16596221923828,0.9600354768335819,1362000,142.0514678955078,3851.0188345700003,1000.0
283,68200,22.159896850585938,-1.8640310764312744,1364000,511655.5625,4082.5097334500006,1000.0
283,68300,22.161849975585938,0.9804920144379139,1366000,646.7653198242188,4082.5097334500006,1000.0
283,68400,22.160152435302734,-129.9116973876953,1368000,454810.5,4260.449484239999,1000.0
283,68500,22.164527893066406,0.934830330312252,1370000,234.50393676757812,4260.449484239999,1000.0
