nupdates,policy_entropy,fps,total_timesteps,value_loss,explained_variance,ep_len_mean,ep_reward_mean
29500,31.324020385742188,298,1032500,0.005099413450807333,0.008496284484863281,1000.0,1652.2247838800001
29600,31.39313316345215,298,1036000,26632.583984375,0.00544130802154541,1000.0,1652.63002557
29700,31.457612991333008,299,1039500,0.031069841235876083,0.01237422227859497,1000.0,1652.63002557
29800,31.528223037719727,298,1043000,26740.5859375,-0.0018867254257202148,1000.0,1652.6297120999998
29900,31.636831283569336,299,1046500,0.011162656359374523,0.05967026948928833,1000.0,1652.6297120999998
30000,31.663358688354492,299,1050000,26549.017578125,0.0002491474151611328,1000.0,1652.06680639
30100,31.709455490112305,299,1053500,0.013780768029391766,-0.009175777435302734,1000.0,1652.06680639
30200,31.800941467285156,299,1057000,26615.353515625,-0.0016881227493286133,1000.0,1650.87669972
30300,31.85902214050293,299,1060500,0.012498093768954277,0.036664366722106934,1000.0,1650.87669972
30400,31.931392669677734,299,1064000,26665.576171875,-0.004481673240661621,1000.0,1650.6898276
30500,31.989177703857422,299,1067500,0.013879630714654922,0.009626984596252441,1000.0,1650.6898276
30600,32.048500061035156,299,1071000,26222.076171875,0.0015336275100708008,1000.0,1650.3820465099998
30700,32.13410949707031,299,1074500,0.012672681361436844,-0.09045743942260742,1000.0,1650.3820465099998
30800,32.21371841430664,299,1078000,26576.009765625,-0.0005953311920166016,1000.0,1650.41084607
30900,32.2904167175293,299,1081500,0.00818263553082943,0.1416977047920227,1000.0,1650.41084607
31000,32.38365173339844,299,1085000,26444.25390625,-0.0006814002990722656,1000.0,1650.0753800100001
31100,32.47671127319336,299,1088500,0.010900742374360561,-0.003830432891845703,1000.0,1650.0753800100001
31200,32.56706619262695,299,1092000,26421.70703125,0.0024535655975341797,1000.0,1649.7920479
31300,32.66493225097656,299,1095500,0.07872585952281952,0.07021874189376831,1000.0,1649.7920479
31400,32.7255859375,299,1099000,26763.302734375,-0.0006887912750244141,1000.0,1649.9620096100002
31500,32.77647399902344,299,1102500,0.007154461462050676,0.03508859872817993,1000.0,1649.9620096100002
31600,32.850486755371094,299,1106000,26639.291015625,-0.004867911338806152,1000.0,1649.67980902
31700,32.88862609863281,299,1109500,0.006364291533827782,0.0498318076133728,1000.0,1649.67980902
31800,33.016807556152344,299,1113000,26675.671875,0.0015726685523986816,1000.0,1649.80947749
31900,33.078819274902344,300,1116500,0.014330354519188404,0.11654490232467651,1000.0,1649.80947749
32000,33.11982727050781,299,1120000,26404.478515625,0.0014850497245788574,1000.0,1649.5533087799997
32100,33.16963195800781,300,1123500,0.007222473621368408,0.16429483890533447,1000.0,1649.5533087799997
32200,33.23125076293945,299,1127000,26658.333984375,-0.009359359741210938,1000.0,1649.4950113200002
32300,33.302364349365234,300,1130500,0.014905514195561409,-0.09134292602539062,1000.0,1649.4950113200002
32400,33.355735778808594,300,1134000,26720.16015625,0.004382193088531494,1000.0,1649.55797177
32500,33.4197883605957,300,1137500,0.0060661775059998035,0.07945245504379272,1000.0,1649.55797177
32600,33.507259368896484,300,1141000,26574.21875,0.004307568073272705,1000.0,1649.64367573
32700,33.593353271484375,300,1144500,0.03394441679120064,0.2403850555419922,1000.0,1649.64367573
32800,33.683570861816406,300,1148000,26505.3203125,0.007249593734741211,1000.0,1649.0130855099999
32900,33.72560119628906,300,1151500,0.011236410588026047,0.07229876518249512,1000.0,1649.0130855099999
33000,33.79961013793945,300,1155000,26653.837890625,-0.002991199493408203,1000.0,1649.6509311300001
33100,33.87776184082031,300,1158500,0.011104530654847622,-0.1836392879486084,1000.0,1649.6509311300001
33200,33.94139862060547,300,1162000,26422.314453125,-0.008869647979736328,1000.0,1650.0531979200002
33300,33.994598388671875,300,1165500,0.18233394622802734,-0.03321504592895508,1000.0,1650.0531979200002
33400,34.05031204223633,300,1169000,26659.75390625,-0.0005227327346801758,1000.0,1650.27555315
33500,34.10154724121094,300,1172500,0.011489760130643845,-0.07053577899932861,1000.0,1650.27555315
33600,34.14508819580078,300,1176000,26619.74609375,0.0018594861030578613,1000.0,1650.44171507
33700,34.21335983276367,300,1179500,0.011458393186330795,0.20887720584869385,1000.0,1650.44171507
33800,34.3049430847168,300,1183000,26639.25,0.002160489559173584,1000.0,1650.75501242
33900,34.367835998535156,300,1186500,0.008738276548683643,0.4046909213066101,1000.0,1650.75501242
34000,34.45466613769531,300,1190000,26700.8828125,0.0022124052047729492,1000.0,1650.7354566300003
34100,34.50355911254883,300,1193500,0.007253588177263737,0.03255850076675415,1000.0,1650.7354566300003
34200,34.58740234375,300,1197000,26795.94921875,-0.00030159950256347656,1000.0,1650.7330805899996
34300,34.697486877441406,301,1200500,0.010640597902238369,0.16291379928588867,1000.0,1650.7330805899996
34400,34.783897399902344,300,1204000,26691.791015625,-3.8743019104003906e-05,1000.0,1650.86638361
34500,34.883567810058594,301,1207500,0.02706136927008629,0.20111727714538574,1000.0,1650.86638361
34600,34.91695785522461,300,1211000,26245.6015625,-0.004604220390319824,1000.0,1650.10018051
34700,34.948001861572266,301,1214500,0.0202168095856905,0.36450421810150146,1000.0,1650.10018051
34800,35.034934997558594,300,1218000,26595.697265625,0.005691409111022949,1000.0,1649.16604795
34900,35.06548309326172,301,1221500,0.007530806120485067,0.12975507974624634,1000.0,1649.16604795
35000,35.14283752441406,301,1225000,26638.455078125,-0.0008866786956787109,1000.0,1649.0812499
35100,35.22690200805664,301,1228500,0.03944909945130348,-0.010111451148986816,1000.0,1649.0812499
35200,35.26300048828125,301,1232000,26447.50390625,-0.0026644468307495117,1000.0,1649.0045573700002
35300,35.31682586669922,301,1235500,0.014414952136576176,0.08113682270050049,1000.0,1649.0045573700002
35400,35.37258529663086,301,1239000,26674.16015625,-0.004230499267578125,1000.0,1648.78879657
35500,35.4453125,301,1242500,0.01040086429566145,-0.1918090581893921,1000.0,1648.78879657
35600,35.56391525268555,301,1246000,26711.279296875,0.0016579031944274902,1000.0,1649.3322231800003
35700,35.6170654296875,301,1249500,0.02733825333416462,0.131281316280365,1000.0,1649.3322231800003
35800,35.702056884765625,301,1253000,26430.552734375,0.011540651321411133,1000.0,1649.1584998600001
35900,35.72602081298828,301,1256500,0.01422787830233574,0.30821049213409424,1000.0,1649.1584998600001
36000,35.76373291015625,301,1260000,26420.306640625,0.001126110553741455,1000.0,1648.65021362
36100,35.82185745239258,301,1263500,0.02720901370048523,0.04653453826904297,1000.0,1648.65021362
